sku,brand,category,name,previous_price,sale_price,promo
"SEM29372","SEM","Seam Sealers","SEM 1K SEAM SEALER - GRAY",30.99,27.99,""
"SEM29382","SEM","Seam Sealers","SEM 1K SEAM SEALER - BEIGE",30.99,27.99,""
"SEM29392","SEM","Seam Sealers","SEM 1K SEAM SEALER - BLACK",30.99,27.99,""
"SEM29462","SEM","Seam Sealers","SEM 2-IN-1 SEAM SEALER - WHITE",34.99,29.99,""
"SEM29472","SEM","Seam Sealers","SEM 2-IN-1 SEAM SEALER - GRAY",34.99,29.99,""
"SEM29482","SEM","Seam Sealers","SEM 2-IN-1 SEAM SEALER - BEIGE",34.99,29.99,""
"SEM29492","SEM","Seam Sealers","SEM 2-IN-1 SEAM SEALER - BLACK",34.99,29.99,""
"SEM39143","SEM","Primers & Coatings","SEM TRIM BLACK",24.99,19.99,""
"SEM39144-LV","SEM","Primers & Coatings","SEM LOW VOC TRIM BLACK",87.99,69.99,""
"SEM39673","SEM","Primers & Coatings","SEM SELF ETCHING PRIMER - BLACK",37.99,29.99,""
"SEM39683","SEM","Primers & Coatings","SEM SELF ETCHING PRIMER - GRAY",37.99,29.99,""
"SEM39863","SEM","Primers & Coatings","SEM PLASTIC ADHESION PROMOTER",45.99,39.99,""
"SEM40773","SEM","Primers & Coatings","SEM ZINCWELD",39.99,34.99,""
"SEM62213","SEM","Primers & Coatings","SEM EZ COAT - BLACK",30.99,24.99,""
"SEM62243","SEM","Primers & Coatings","SEM EZ COAT - GRAY",30.99,24.99,""
"SEM40561","SEM","Body Fillers & Glazes","SEM Powder Pro Ultra Lightweight Body Filler",99.99,79.99,""
"SEM39592","SEM","Body Fillers & Glazes","SEM METAL BITE FINISHING GLAZE",66.99,54.99,""
"SEM40482","SEM","Body Fillers & Glazes","SEM BUMPER BITE FLEXIBLE GLAZE",55.99,44.99,""
"SEM56650","SEM","Bed Liners & Protective Coatings","SEM GLADIATOR XC BLACK KIT",243.99,199.99,""
"SEM56670","SEM","Bed Liners & Protective Coatings","SEM GLADIATOR XC TINTABLE KIT",243.99,199.99,""
"SA6080","SEM","Abrasives","SEM 6"" Grip Multihole 80, 50 Discs/Box",67.99,59.99,""
"SA6120","SEM","Abrasives","SEM 6"" Grip Multihole 120, 50 Discs/Box",69.99,49.99,""
"SA6180","SEM","Abrasives","SEM 6"" Grip Multihole 180, 50 Discs/Box",69.99,49.99,""
"SA6240","SEM","Abrasives","SEM 6"" Grip Multihole 240, 50 Discs/Box",69.99,49.99,""
"SA6320","SEM","Abrasives","SEM 6"" Grip Multihole 320, 50 Discs/Box",69.99,49.99,""
"SA6400","SEM","Abrasives","SEM 6"" Grip Multihole 400, 50 Discs/Box",69.99,49.99,""
"SEM61993","SEM","Aerosols & Specialty","SEM CUSTOM FILL AEROSOL BLANK",60.00,24.99,""
"EC520","PPG","Clearcoats","EHP High Production Clearcoat Ga",816.20,408.10,""
"EC530","PPG","Clearcoats","EHP Performance Clearcoat Ga",816.20,408.10,""
"EC550","PPG","Clearcoats","EHP Ultra Gloss Clearcoat Ga",816.20,408.10,""
"UT500","PPG","Clearcoats","Envirobase High Clarity Clearcoat Ga",787.20,393.60,""
"UT501","PPG","Clearcoats","Envirobase Low Gloss Clearcoat Ga",787.20,393.60,""
"UT502","PPG","Clearcoats","Envirobase Ultra High Clarity Clearcoat Ga",885.20,442.60,""
"BC600","PPG","Base Coats","EHP Pearl White Base Qa",695.20,347.60,""
"BC700","PPG","Base Coats","EHP Metallic Black Base Qa",745.20,372.60,""
"BT100","PPG","Base Coats","Envirobase Pearl White Base Qa",625.40,312.70,""
"BT200","PPG","Base Coats","Envirobase Metallic Silver Base Qa",675.50,337.75,""
"AP200","PPG","Primers & Surfacers","Acrylic Surfacer Red Qa",545.90,272.95,""
"AP300","PPG","Primers & Surfacers","Acrylic Primer Sealer Qa",512.10,256.05,""
"EP400","PPG","Primers & Surfacers","Epoxy Primer Gray Ga",678.20,339.10,""
"EP500","PPG","Primers & Surfacers","Urethane Primer Gray Ga",612.30,306.15,""
"TAM900","Tamco","Clearcoats","Tamco 2K Clearcoat Ga",520.00,260.00,""
"TAM950","Tamco","Clearcoats","Tamco UHS Clearcoat Ga",595.00,297.50,""
"TAM100","Tamco","Base Coats","Tamco Pearl Base Coat Qa",450.00,225.00,""
"TAM200","Tamco","Base Coats","Tamco Metallic Base Coat Qa",485.00,242.50,""
"TAM500","Tamco","Primers","Tamco Epoxy Primer Ga",410.00,205.00,""
"TAM600","Tamco","Primers","Tamco Urethane Primer Ga",385.00,192.50,""
"DC001","Dupli-Color","","Dupli-Color Trim & Bumper Coating",18.99,12.99,""
"DC002","Dupli-Color","","Dupli-Color Plastic Adhesion Promoter",21.99,14.99,""
"DC003","Dupli-Color","","Dupli-Color Heavy-Duty Rubberized Undercoat",24.99,16.99,""
"DC004","Dupli-Color","","Dupli-Color Engine Enamel Gloss Black",16.99,10.99,""
"DC005","Dupli-Color","","Dupli-Color Acrylic Enamel Gloss White",16.99,10.99,""
"DC006","Dupli-Color","","Dupli-Color Acrylic Enamel Gloss Red",16.99,10.99,""
"HEN2568787","Henkel","Adhesives & Sealants","Henkel Teroson PU 8590 Panel Bond Adhesive",72.99,54.99,""
"HEN2568797","Henkel","Adhesives & Sealants","Henkel Teroson MS 222 Anti-Flutter Material",44.99,29.99,""
"HEN2568817","Henkel","Adhesives & Sealants","Henkel Teroson MS 9120 SF - White",37.99,24.99,""
"HEN2568818","Henkel","Adhesives & Sealants","Henkel Teroson MS 9320 SF - Grey",37.99,24.99,""
"HEN2816502","Henkel","Adhesives & Sealants","Henkel Teroson EP 5055 SB Panel Bond Adhesive",91.99,49.99,""
"HEN2820041","Henkel","Adhesives & Sealants","Henkel Teroson MS 9320 SF - Black",37.99,24.99,""
"HEN1434516","Henkel","Adhesives & Sealants","Henkel Loctite Replacement Nozzles",7.99,5.99,""
"HEN1585815","Henkel","Adhesives & Sealants","Henkel Teroson ET UBC Gun",60.99,54.99,""
"CPM118","Q1","","Q1 Car Plus Masking Tape 18mm (3/4"")",75.00,65.00,""
"CPM136.55","Q1","","Q1 Car Plus Masking Tape 36mm (1 1/2"")",75.00,65.00,""
"CHC590248-5","Rexall","","Premium Solvent Cleaner",75.00,49.99,""
"CHC590266-5","Rexall","","Professional Solvent Cleaner",59.99,39.99,""
"CHC590269-5","Rexall","","Wax and Grease Remover 5Ga",135.99,79.99,""
"CHC590353-5","Rexall","","Final Wash 5Ga",99.99,79.99,""
"MTN0002","Rexall","","Montana Stone Shield 400ml",13.49,9.99,""
"MTN0901","Rexall","","Montana Matte Black 400ml",12.49,7.99,""
"MTN0903","Rexall","","Montana Satin Black 400ml",12.49,7.99,""
"MTN0908","Rexall","","Montana Gloss Acrylic 400ml",15.49,11.99,""
"MTN9010","Rexall","","Montana Gloss White 400ml",12.49,7.99,""
"MTN9011","Rexall","","Montana Gloss Black 400ml",12.49,7.99,""
"SCA121202","Tork","","8.25'x 600' M-Torq 6/pkg",65.00,49.99,""
"SCA192480","Tork","","Specialist Cloth Top Pack",159.99,119.99,""
"DN106-L","Wipeco","","WIPECO 6 Mil Nitrile Gloves L 100/BX",15.00,8.99,""
"DN106-M","Wipeco","","WIPECO 6 Mil Nitrile Gloves M 100/Bx",15.00,8.99,""
"DN106-XL","Wipeco","","WIPECO 6 Mil Nitrile Gloves XL 100/Bx",15.00,8.99,""
"DN850BKEC-L","Wipeco","","WIPECO 8 Mil Nitrile Gloves L 50/Bx",15.00,6.99,""
"DN850BKEC-M","Wipeco","","WIPECO 8 Mil Nitrile Gloves M 50/Bx",15.00,6.99,""
"DN850BKEC-XL","Wipeco","","WIPECO 8 Mil Nitrile Gloves XL 50/Bx",15.00,6.99,""
