sku,brand,category,name,previous_price,sale_price,promo,case_qty
MMM36241,3M,Abrasives & Sanding,3M Hookit Blue No Hole Disc P80 6in,58.99,49.99,,4
MMM36244,3M,Abrasives & Sanding,3M Hookit Blue No Hole Disc P180 6in,58.99,49.99,,4
MMM36247,3M,Abrasives & Sanding,3M Hookit Blue No Hole Disc P320 6in,58.99,49.99,,4
MMM36248,3M,Abrasives & Sanding,3M Hookit Blue No Hole Disc P400 6in,58.99,49.99,,4
MMM05706,3M,Polishing & Compounding,3M Perfect-It Foam Compounding Pad,63.99,29.99,,6
MMM05707,3M,Polishing & Compounding,3M Perfect-It Foam Polishing Pad,58.99,35.99,,6
MMM05708,3M,Polishing & Compounding,3M Perfect-It Ultrafine Foam Polishing Pad,58.99,39.99,,6
MMM06068,3M,Polishing & Compounding,3M Perfect-It Ultrafine Machine Polish 946mL,74.99,69.99,,6
MMM06094,3M,Polishing & Compounding,3M Perfect-It Machine Polish,85.99,69.99,,6
MMM33279,3M,Polishing & Compounding,3M Perfect-It Low Linting Wool Pad,79.99,59.99,,6
MMM36060,3M,Polishing & Compounding,3M Perfect-It EX Rubbing Compound Qt,74.99,59.99,,6
MMM01131,3M,Body Fillers & Repair,3M Platinum Plus Body FIller Ga,71.99,69.99,Buy 3 Gallons Get 1 Gallon free,4
MMM05860,3M,Body Fillers & Repair,3M Dry Guide Coat Cartridge,53.99,53.99,Buy 2 cases Get 1 Free,5
MMM04248,3M,Body Fillers & Repair,3M Super Fast Repair Adhesive 200mL,100.99,74.99,,6
MMM04240,3M,Body Fillers & Repair,3M Semi-Rigid Plastic Repair 200mL,79.99,59.99,,6
MMM04247,3M,Body Fillers & Repair,3M Super Fast Plastic Repair 200mL,90.99,69.99,,6
MMM05861,3M,Body Fillers & Repair,3M Dry Guide Coat Applicator Kit,79.99,64.99,,6
MMM05887,3M,Body Fillers & Repair,3M EZ Sand Flexible Parts Repair Adhesive,110.99,79.99,,6
MMM20382,3M,Body Fillers & Repair,3M Disposable Paper Mixing Board,37.99,29.99,,4
MMM08852,3M,Adhesives & Seam Sealers,3M Cavity Wax Plus 511 g,42.99,42.99,Buy 2 cases Get 1 Free,4
MMM08522,3M,Adhesives & Seam Sealers,3M OEM Match Epoxy Seam Sealer Beige,97.99,57.99,,6
MMM05916,3M,Adhesives & Seam Sealers,3M Welding and Spark Deflection Paper,244.99,149.99,,2
MMM05917,3M,Adhesives & Seam Sealers,3M Weld-Thru Coating II,47.99,39.99,,6
MMM07333,3M,Adhesives & Seam Sealers,3M Impact Resistant Structural Adhesive 200mL,160.99,99.99,,6
MMM08115,3M,Adhesives & Seam Sealers,3M Automix Panel Bonding Adhesive 200mL,101.99,79.99,,6
MMM08116,3M,Adhesives & Seam Sealers,3M Automix Panel Bonding Adhesive OEM 200mL,95.99,99.99,,6
MMM08217,3M,Adhesives & Seam Sealers,3M Automix Universal Adhesive 200mL,85.99,84.99,,6
MMM08308,3M,Adhesives & Seam Sealers,3M Heavy-Bodied Seam Sealer 200mL,74.99,59.99,,6
MMM08323,3M,Adhesives & Seam Sealers,3M Factory Match Seam Sealer 200mL,76.99,49.99,,6
MMM08329,3M,Adhesives & Seam Sealers,3M Controlled-Flow Seam Sealer Black 200mL,74.99,69.99,,6
